         245311425 function calls (244947111 primitive calls) in 213.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
89597/73215    0.044    0.000    0.078    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\artist.py:217(stale)
     1715    0.044    0.000    8.342    0.005 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:211(<listcomp>)
     1274    0.041    0.000    0.145    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\stats\_distn_infrastructure.py:1797(cdf)
    64480    0.040    0.000    0.147    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
    53782    0.040    0.000    0.147    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:97(take)
    53782    0.039    0.000    0.225    0.000 <__array_function__ internals>:2(take)
      669    0.039    0.000    0.039    0.000 {method 'read' of '_io.BufferedReader' objects}
    91142    0.036    0.000    0.050    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\__init__.py:815(__getitem__)
    35900    0.036    0.000    0.059    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\mrg32k3a.py:465(reset_substream)
    23159    0.034    0.000    3.248    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:3714(quantile)
    20394    0.033    0.000    0.321    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\arraysetops.py:151(unique)
     1811    0.032    0.000    0.269    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\lines.py:269(__init__)
    47965    0.032    0.000    0.162    0.000 <__array_function__ internals>:2(concatenate)
      637    0.032    0.000    0.994    0.002 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:983(<listcomp>)
        8    0.031    0.004    0.031    0.004 {built-in method matplotlib.backends._tkagg.blit}
    46318    0.031    0.000    0.031    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
    23159    0.031    0.000    2.927    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\lib\function_base.py:3821(_quantile_unchecked)
    46318    0.030    0.000    0.143    0.000 <__array_function__ internals>:2(count_nonzero)
     4258    0.028    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
    29847    0.028    0.000    0.207    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\fromnumeric.py:2236(any)
    20394    0.027    0.000    0.027    0.000 {method 'sort' of 'numpy.ndarray' objects}
   231620    0.027    0.000    0.027    0.000 {built-in method _operator.index}
1728/1636    0.026    0.000    0.083    0.000 {built-in method builtins.__build_class__}
      337    0.026    0.000    0.064    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\_lib\doccer.py:12(docformat)
      405    0.024    0.000    0.036    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   115795    0.024    0.000    0.024    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:1403(<listcomp>)
   1142/1    0.023    0.000  214.126  214.126 {built-in method builtins.exec}
      284    0.023    0.000    0.030    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4988    0.022    0.000    0.153    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\stats\_distn_infrastructure.py:545(<listcomp>)
    24454    0.022    0.000    0.022    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2573    0.022    0.000    0.038    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:625(cleandoc)
    29847    0.022    0.000    0.253    0.000 <__array_function__ internals>:2(any)
     2354    0.021    0.000    0.285    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\text.py:272(_get_layout)
    35900    0.021    0.000    0.045    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\rng\mrg32k3a.py:476(reset_subsubstream)
     3909    0.021    0.000    0.032    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\matplotlib\artist.py:74(__init__)
    23159    0.020    0.000    3.294    0.000 <__array_function__ internals>:2(quantile)
    46318    0.019    0.000    0.050    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\numeric.py:402(count_nonzero)
    21713    0.019    0.000    0.019    0.000 {built-in method numpy.empty}
     1900    0.019    0.000   14.710    0.008 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:997(functional_of_curves)
    17953    0.019    0.000    0.019    0.000 c:\Users\david\Box\SimOpt\SimOpt_GitHub_repo\simopt\simopt\wrapper_base.py:257(<listcomp>)
   115852    0.018    0.000    0.018    0.000 {method 'insert' of 'list' objects}
     7371    0.018    0.000    0.018    0.000 {built-in method builtins.iter}
    53345    0.017    0.000    0.060    0.000 C:\Users\david\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\_asarray.py:16(asarray)
