DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,material_cost,mat_to_prod,salvage_price,order_cost,poi_mean,process_cost,purchase_yield,sales_price,total_budget,recourse_cost,num_product,num_material,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),problem_dp,solver_dp
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,4,-0.0150477076139017,0.2432466420456066,0.578,1,0.498,1,0.458,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,5,-0.0038850835747798,0.2687475740275208,0.583,1,0.498,1,0.458,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,6,-0.0250338400752047,0.1998913449147927,0.338,1,0.338,1,0.296,1,0.232,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,7,0.000982756665235,0.2730053438276469,0.502,1,0.502,1,0.422,1,0.236,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,8,0.0099714752504448,0.3373663017694027,0.669,1,0.619,1,0.539,1,0.338,1,3,0
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.025, 1.025, 1.2044, 1.4151]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.4933, 0.4933, 0.5797, 0.6811]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.5625, 2.5625, 3.0109, 3.5379]",3,4,9,-0.0035696872240454,0.3079261014582506,0.668,1,0.578,1,0.418,1,0.338,1,3,0
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.175, 1.175, 1.1824, 1.1899]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5215, 0.5215, 0.5248, 0.5281]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.3133, 2.3133, 2.3279, 2.3425]",3,4,0,-0.0075280534714479,0.1424787480322029,0.2,1,0.2,1,0.2,1,0.168,1,4,0
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.175, 1.175, 1.1824, 1.1899]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5215, 0.5215, 0.5248, 0.5281]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.3133, 2.3133, 2.3279, 2.3425]",3,4,1,-0.0106297862991156,0.1388584454872728,0.2,1,0.2,1,0.2,1,0.168,1,4,0
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.175, 1.175, 1.1824, 1.1899]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5215, 0.5215, 0.5248, 0.5281]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.3133, 2.3133, 2.3279, 2.3425]",3,4,2,-0.0189054768878146,0.1306102269898915,0.2,1,0.2,1,0.2,1,0.168,1,4,0
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[1.175, 1.175, 1.1824, 1.1899]","[[1, 2, 1, 3], [1, 1, 3, 1], [2, 0, 4, 1]]","[0.5215, 0.5215, 0.5248, 0.5281]",20,"[15.0, 15.0, 15.0]","[0.1, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9]","[12.0, 12.0, 12.0]",600,"[2.3133, 2.3133, 2.3279, 2.3425]",3,4,3,-0.0,0.1365772534545771,0.232,1,0.2,1,0.2,1,0.168,1,4,0
