DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
5,True,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
5,True,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
5,True,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
5,True,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
5,True,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
6,True,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.9,inf,0,inf,0,inf,0,inf,0
6,True,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.9,inf,0,inf,0,inf,0,inf,0
6,True,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.9,inf,0,inf,0,inf,0,inf,0
6,True,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.9,inf,0,inf,0,inf,0,inf,0
6,True,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,1.0,0.9,inf,0,inf,0,inf,0,inf,0
7,True,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
7,True,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
7,True,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
7,True,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
7,True,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
8,True,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
8,True,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
8,True,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
8,True,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
8,True,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
9,True,0.719,0.5,1.5,0.5,27,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.4671088018808632,0.9449696928924176,inf,0,inf,0,inf,0,1.0,1
