DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,variable_cost,n_days,backorder_cost,demand_mean,warmup,holding_cost,fixed_cost,lead_mean,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.06712652614377894,0.12219096319420827,inf,0,0.104,1,0.104,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.4583852034777699,0.4816280813408523,inf,0,inf,0,inf,0,0.072,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.07041813350480848,0.12486853963624775,inf,0,0.188,1,0.072,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.15899220468579053,0.19584141277835077,inf,0,inf,0,0.072,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.12890039758482658,0.16765726051501606,inf,0,inf,0,0.072,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.08102629823114967,0.1214108178191472,inf,0,0.072,1,0.072,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.5349281627458992,0.5662260779671753,inf,0,inf,0,inf,0,0.072,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.15659757149255457,0.20515625224370793,inf,0,inf,0,0.132,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.17210020885948232,0.22313510973339057,inf,0,inf,0,0.291,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.04905339392769464,0.09860754737304564,0.258,1,0.164,1,0.072,1,0.056,1
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.5000796771592085,0.5263697581941031,inf,0,inf,0,inf,0,inf,0
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.5552516938492269,0.5647131806588906,inf,0,inf,0,inf,0,inf,0
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.4051522104187593,0.446706108866627,inf,0,inf,0,inf,0,0.104,1
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.7045978672527902,0.7210643343916777,inf,0,inf,0,inf,0,inf,0
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.12843222710059715,0.16627207464132762,inf,0,inf,0,0.072,1,0.056,1
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.12576637467822602,0.16832098326790162,inf,0,inf,0,0.072,1,0.056,1
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.5878384167110252,0.6364038045440105,inf,0,inf,0,inf,0,inf,0
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.14036943063388993,0.1857772760766662,inf,0,inf,0,0.088,1,0.056,1
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.4186300672453514,0.44601891736415844,inf,0,inf,0,inf,0,0.056,1
9,True,0.5,0.737,1.633,0.49,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.05365444276864275,0.10198717777146969,inf,0,0.12,1,0.072,1,0.056,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.07763758186084857,0.12708434466747312,inf,0,0.104,1,0.104,1,0.056,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.44425017825488483,0.4704435553884615,inf,0,inf,0,inf,0,0.072,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.07459567907931895,0.12720025430630716,inf,0,0.188,1,0.072,1,0.056,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.1671763929779505,0.2103466075970423,inf,0,0.184,1,0.072,1,0.056,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.12255408917237057,0.16725566086463134,inf,0,inf,0,0.072,1,0.056,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.07064224324233591,0.11432657687020756,inf,0,0.072,1,0.072,1,0.056,1
10,True,0.1,0.5,1.74,0.51,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.4529734762096687,0.49968136017431575,inf,0,inf,0,inf,0,0.305,1
