solver_dp,problem_dp,Average Optimality Gap,gamma_1,gamma_2,eta_1,eta_2
2.0,17.0,-0.01609056709587622,1.3,0.5,0.1,0.6
3.0,17.0,-0.01609108437726912,1.4,0.6,0.2,0.9
4.0,17.0,0.44540431429917426,2.5,0.9,0.3,0.6
5.0,17.0,-0.01658462710639871,3.0,0.4,0.3,0.8
6.0,17.0,-0.005014369690151369,2.3,0.3,0.5,0.6
7.0,17.0,0.06895457017070605,2.1,0.8,0.4,0.9
8.0,17.0,-0.012848961814428999,2.0,0.5,0.3,0.7
9.0,17.0,-0.0038573414467386706,2.4,0.1,0.2,0.8
10.0,17.0,0.15633831759063727,2.9,0.7,0.2,0.7
11.0,17.0,0.13415847121370655,2.8,0.6,0.5,0.8
12.0,17.0,-0.0125560502705851,2.6,0.4,0.4,0.5
13.0,17.0,-0.01643217856255207,1.5,0.2,0.3,0.9
14.0,17.0,0.03531570880325666,1.0,0.7,0.4,0.6
15.0,17.0,0.05010312591572062,1.8,0.8,0.1,0.8
16.0,17.0,-0.011136723631080989,1.9,0.2,0.2,0.5
0.0,18.0,-0.01495338989917597,1.5,0.5,0.1,0.8
1.0,18.0,0.03225177787490596,1.1,0.3,0.5,0.7
2.0,18.0,-0.014093911361676809,1.3,0.5,0.1,0.6
3.0,18.0,-0.01643805118383245,1.4,0.6,0.2,0.9
4.0,18.0,0.5960845317967552,2.5,0.9,0.3,0.6
5.0,18.0,-0.00775870395951545,3.0,0.4,0.3,0.8
6.0,18.0,-0.014800192856011668,2.3,0.3,0.5,0.6
7.0,18.0,0.08067055417340074,2.1,0.8,0.4,0.9
8.0,18.0,-0.009404394430246208,2.0,0.5,0.3,0.7
9.0,18.0,-0.0026181453204849204,2.4,0.1,0.2,0.8
10.0,18.0,0.23668658037365145,2.9,0.7,0.2,0.7
11.0,18.0,0.04805715799781356,2.8,0.6,0.5,0.8
12.0,18.0,0.029705189180027743,2.6,0.4,0.4,0.5
13.0,18.0,-0.010397047419038869,1.5,0.2,0.3,0.9
14.0,18.0,0.02118410534205146,1.0,0.7,0.4,0.6
15.0,18.0,0.02044050122287759,1.8,0.8,0.1,0.8
16.0,18.0,-0.00445470965928311,1.9,0.2,0.2,0.5
0.0,19.0,-0.03281969131841138,1.5,0.5,0.1,0.8
1.0,19.0,-0.026383747398244194,1.1,0.3,0.5,0.7
2.0,19.0,-0.03414606741126008,1.3,0.5,0.1,0.6
3.0,19.0,-0.03370783550335496,1.4,0.6,0.2,0.9
4.0,19.0,0.5000173767009309,2.5,0.9,0.3,0.6
5.0,19.0,-0.03552753240168348,3.0,0.4,0.3,0.8
6.0,19.0,0.053446987754978234,2.3,0.3,0.5,0.6
