DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,num_product,mat_to_prod,order_cost,sales_price,material_cost,salvage_price,total_budget,purchase_yield,poi_mean,recourse_cost,num_material,process_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),Initial Solution,Initial Objective Function Value,Optimal Solution,Optimal Objective Function Value
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",0,0.02426535116985511,0.08055572360976943,0.1838,1,0.116,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(48.986, 80.3356, 125.2091, 47.305)",317.7150714635943
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",1,0.006821494288632866,0.06932071108995157,0.132,1,0.132,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(50.8546, 79.1733, 116.1301, 42.8134)",320.9822977582703
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",2,0.012896868244823115,0.0759233737965239,0.168,1,0.168,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(47.0869, 79.6279, 116.4825, 34.6198)",319.84438303707
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",3,0.004058747068474801,0.07496630268605169,0.148,1,0.148,1,0.1,1,0.068,1,"(20, 20, 20, 20)",135.93814847798228,"(48.1141, 74.761, 116.0696, 44.2999)",321.4997590298633
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",4,0.007361262216609403,0.0784985751334601,0.2428,1,0.132,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(48.2554, 78.6337, 120.8556, 41.1953)",320.88119947597437
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",5,0.006185597828346468,0.06971732616751784,0.166,1,0.166,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(49.9181, 73.9468, 118.314, 44.9035)",321.10140087003543
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",6,0.008914610941582652,0.07253608253442499,0.1,1,0.1,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(45.6606, 73.2195, 117.7601, 45.5435)",320.5902579810062
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",7,0.010903801355596168,0.074001685466624,0.132,1,0.132,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(49.8955, 74.9184, 107.1185, 34.3473)",320.2176835400419
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",8,0.0131584809932242,0.0814401443307414,0.2036,1,0.116,1,0.116,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(51.8864, 79.4983, 119.9439, 37.9941)",319.79538309076116
3,True,0.225,0.9,2.625,0.65,10,True,True,0.1,"[20, 20, 20, 20]",5000,3,"[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]",0,"[6, 12, 10]","[1.2, 1.275, 1.3547, 1.4394]","[0.675, 0.7172, 0.762, 0]",1200,"[1, 1, 1, 1]","[20, 25, 15]","[2.25, 2.3906, 2.54, 2.6988]",4,"[0.1, 0.1, 0.1]",9,0.0023231157702922793,0.06780367573185986,0.2014,1,0.116,1,0.068,1,0.052,1,"(20, 20, 20, 20)",135.93814847798228,"(47.8753, 75.618, 118.7188, 41.3442)",321.82484196615985
