DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,poi_mean,material_cost,purchase_yield,process_cost,mat_to_prod,sales_price,salvage_price,num_material,order_cost,total_budget,num_product,recourse_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",0,0.9025493129726263,0.31789174938451675,inf,0,0.678,1,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",1,0.35590005205344283,0.9883313993160802,inf,0,inf,0,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",2,0.05931531028419774,0.14942038338807304,0.473,1,0.276,1,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",3,0.030084248217431196,0.1482650621382528,0.3,1,0.3,1,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",4,0.015615362290074807,0.14376541744593196,0.272,1,0.272,1,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",5,0.020496028650978416,0.2228024741577129,0.672,1,0.672,1,0.2,1,0.136,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",6,0.05050420563322354,0.3613132740952174,inf,0,0.825,1,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",7,0.029278925183317654,0.18838991964808216,0.675,1,0.338,1,0.2,1,0.136,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",8,1.0820646103329488,0.6384803839077893,0.276,1,0.276,1,0.136,1,0.104,1
3,True,0.125,0.6,2.75,0.725,4,True,True,0.1,"[20, 20, 20, 20]",1000,"[20, 25, 15]","[0.925, 1.11, 1.332, 1.5984]","[1, 1, 1, 1]","[0.1, 0.1, 0.1]","[[1, 1, 1, 0], [1, 2, 2, 0], [0, 0, 3, 3]]","[6, 12, 20]","[0.4394, 0.5272, 0.6327, 0.7592]",4,0,600,3,"[2.1391, 2.5669, 3.0803, 3.6963]",9,0.013296124447741633,0.1697042372833866,0.46,1,0.46,1,0.2,1,0.136,1
